NOTATIONS

X_i: initial state
A: action
X_f: final state


State variables

0: Left
1: Right
2: Off Table


Action variables

0: Place Left
1: Place Right
2: Place Off Table
3: Push Left
4: Push Right
5: Push Off Table



EXPERIMENT DATA

X_f{0, 1, 2} column shows # of times the object transitioned to the corresponding final state.


Object: Pear

X_i, A,   X_f{0, 1, 2}
0,   0,      10  0  0
0,   1,       8  1  1
0,   2,       5  0  5
0,   3,      10  0  0
0,   4,       0 10  0
0,   5,       3  0  7
1,   0,       0  8  2
1,   1,       0 10  0
1,   2,       0  7  3
1,   3,       4  6  0
1,   4,       0 10  0
1,   5,       0  4  6
2,   0,       0  0 10
2,   1,       0  0 10
2,   2,       0  0 10
2,   3,       0  0 10
2,   4,       0  0 10
2,   5,       0  0 10


Object: Lemon

X_i, A,   X_f{0, 1, 2}
0,   0,      10  0  0
0,   1,       3  6  1
0,   2,       5  0  5
0,   3,      10  0  0
0,   4,       5  5  0
0,   5,       0  2  8
1,   0,       3  5  2
1,   1,       0 10  0
1,   2,       0  3  7
1,   3,       6  4  0
1,   4,       0 10  0
1,   5,       0  6  4
2,   0,       0  0 10
2,   1,       0  0 10
2,   2,       0  0 10
2,   3,       0  0 10
2,   4,       0  0 10
2,   5,       0  0 10



Object: Chicken

X_i, A,   X_f{0, 1, 2}
0,   0,      10  0  0
0,   1,       3  7  0
0,   2,       0  2  8
0,   3,      10  0  0
0,   4,       2  8  0
0,   5,       0  5  5
1,   0,       5  5  0
1,   1,       0 10  0
1,   2,       0  4  6
1,   3,       9  1  0
1,   4,       0 10  0
1,   5,       0  3  7
2,   0,       0  0 10
2,   1,       0  0 10
2,   2,       0  0 10
2,   3,       0  0 10
2,   4,       0  0 10
2,   5,       0  0 10
